                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.7869,                 4.4061,                 2.3349,                 0.0282,                0.09557,                0.01446,                0.00431,                  2.983,                 4.1596,                 2.3324,             0.00046442,             0.00046442,             0.00046442
                      2,                 2.6236,                 2.8705,                 2.0516,                0.46611,                0.05863,                 0.0497,                 0.0169,                 3.3832,                 3.8606,                 2.6253,             0.00091747,             0.00091747,             0.00091747
                      3,                 2.6354,                 2.7616,                 2.1194,                0.76301,                0.08333,                0.06862,                0.01364,                 3.0637,                  4.507,                 2.4315,              0.0013469,              0.0013469,              0.0013469
                      4,                 2.6259,                 2.6022,                 2.0783,                0.07511,                0.41174,                0.15243,                 0.0465,                 2.7099,                   17.1,                 2.4356,              0.0013229,              0.0013229,              0.0013229
                      5,                 2.5854,                 2.4798,                 2.0528,                0.30299,                0.32302,                 0.1829,                0.08098,                 2.7472,                 3.6454,                 2.0688,              0.0013229,              0.0013229,              0.0013229
                      6,                 2.5433,                 2.4112,                 2.0179,                0.42404,                0.11957,                0.03006,                0.01092,                 3.0082,                 8.0167,                 2.3439,              0.0012875,              0.0012875,              0.0012875
                      7,                 2.4859,                 2.3335,                 2.0354,                0.18229,                0.38628,                 0.2041,                0.05342,                 2.7671,                 3.3652,                  2.067,              0.0012522,              0.0012522,              0.0012522
                      8,                 2.4137,                 2.2001,                 1.9519,                 0.1208,                0.19833,                0.10297,                0.03313,                 2.8046,                 3.0514,                 2.0893,              0.0012168,              0.0012168,              0.0012168
                      9,                  2.443,                 2.2053,                 1.9611,                0.34661,                0.30043,                0.26374,                0.11039,                 2.6086,                 3.0021,                 1.9877,              0.0011814,              0.0011814,              0.0011814
                     10,                 2.4093,                 2.0786,                 1.9262,                0.35516,                0.31013,                 0.2714,                0.11209,                 2.6151,                 3.2102,                 2.0003,              0.0011461,              0.0011461,              0.0011461
                     11,                 2.3767,                 2.0905,                 1.9042,                0.24987,                0.34149,                0.20555,                0.09079,                 2.7672,                 3.6341,                 2.0694,              0.0011107,              0.0011107,              0.0011107
                     12,                 2.3114,                 2.0283,                 1.8563,                0.30109,                0.27801,                0.26309,                0.15794,                 2.6987,                 3.5171,                 2.1224,              0.0010753,              0.0010753,              0.0010753
                     13,                 2.2778,                 2.0026,                 1.8259,                0.60045,                0.18233,                0.19549,                0.05561,                 2.6589,                 2.3509,                  1.955,                0.00104,                0.00104,                0.00104
                     14,                 2.2978,                 1.9999,                 1.8518,                0.32436,                0.44431,                 0.3639,                0.10936,                  2.623,                 2.6625,                 1.9713,              0.0010046,              0.0010046,              0.0010046
                     15,                 2.2491,                 1.9196,                 1.8245,                0.32975,                0.39881,                0.36969,                0.14452,                 2.8138,                 2.5351,                 2.1321,             0.00096922,             0.00096922,             0.00096922
                     16,                 2.1859,                 1.8738,                 1.7818,                0.18493,                0.32765,                0.20714,                0.06585,                 2.6828,                 2.8225,                 1.9689,             0.00093385,             0.00093385,             0.00093385
                     17,                 2.1964,                 1.8372,                 1.7877,                0.59382,                0.12652,                0.13161,                0.04237,                 2.6698,                 2.9916,                 1.9388,             0.00089848,             0.00089848,             0.00089848
                     18,                 2.1968,                 1.8276,                  1.774,                0.21858,                0.42427,                0.32819,                0.16238,                 2.5736,                 2.8005,                 1.8972,             0.00086312,             0.00086312,             0.00086312
                     19,                 2.1508,                 1.7867,                 1.7513,                0.21203,                0.27915,                0.18603,                 0.0694,                 2.5524,                  2.841,                 1.9245,             0.00082775,             0.00082775,             0.00082775
                     20,                 2.1496,                 1.7965,                 1.7576,                0.20669,                0.45482,                0.34629,                0.17168,                 2.5416,                   2.57,                 1.9021,             0.00079238,             0.00079238,             0.00079238
                     21,                 2.1801,                  1.746,                 1.7598,                0.45444,                0.37339,                0.37509,                0.15321,                 2.7362,                 2.5091,                 2.0224,             0.00075701,             0.00075701,             0.00075701
                     22,                 2.0997,                 1.6848,                 1.7189,                0.31096,                0.24005,                 0.3068,                 0.1171,                 2.6713,                 2.3336,                 1.9651,             0.00072164,             0.00072164,             0.00072164
                     23,                 2.0633,                 1.6696,                 1.6957,                0.26509,                0.43309,                0.26872,                0.12449,                 2.7256,                 2.6947,                 1.9922,             0.00068628,             0.00068628,             0.00068628
                     24,                 2.0842,                  1.644,                 1.6837,                0.29464,                0.33294,                0.28032,                0.11316,                 2.7201,                   2.53,                 1.9913,             0.00065091,             0.00065091,             0.00065091
                     25,                 2.0115,                 1.6307,                 1.6712,                0.66525,                0.34298,                0.40035,                0.22019,                 2.6191,                 3.0988,                 1.9187,             0.00061554,             0.00061554,             0.00061554
                     26,                 2.0679,                 1.5794,                 1.6956,                0.39455,                0.25212,                0.27188,                0.12681,                 2.5987,                 2.6585,                 1.9102,             0.00058017,             0.00058017,             0.00058017
                     27,                 2.0501,                 1.5518,                 1.6905,                0.25078,                0.35821,                0.27046,                0.11445,                 2.5243,                 2.5541,                 1.8746,             0.00054481,             0.00054481,             0.00054481
                     28,                 2.0112,                 1.5629,                  1.653,                0.64702,                0.33924,                0.41129,                0.17335,                 2.6712,                 2.7071,                 1.9606,             0.00050944,             0.00050944,             0.00050944
                     29,                 1.9828,                 1.5135,                 1.6362,                0.47838,                0.32041,                0.26246,                0.09928,                 2.6302,                 2.7831,                 1.9176,             0.00047407,             0.00047407,             0.00047407
                     30,                 1.9645,                 1.4957,                 1.6429,                0.62112,                0.31443,                0.38084,                0.16523,                 2.5746,                 2.5646,                 1.9545,              0.0004387,              0.0004387,              0.0004387
                     31,                 1.9629,                 1.4547,                 1.6436,                0.30175,                0.40325,                0.36513,                0.14122,                  2.656,                 2.4821,                 1.9891,             0.00040334,             0.00040334,             0.00040334
                     32,                  1.958,                 1.3663,                 1.6342,                0.39316,                 0.4513,                0.38971,                0.16489,                 2.7645,                 2.7965,                 2.0328,             0.00036797,             0.00036797,             0.00036797
                     33,                 1.9188,                 1.3412,                 1.6181,                0.46826,                0.41038,                0.37846,                0.16786,                 2.6266,                 3.0335,                 1.9754,              0.0003326,              0.0003326,              0.0003326
                     34,                 1.9111,                 1.2976,                 1.6063,                 0.5886,                0.46755,                0.45565,                0.17059,                  2.783,                  3.135,                 2.0469,             0.00029723,             0.00029723,             0.00029723
                     35,                 1.8654,                 1.2798,                 1.5862,                0.57514,                 0.4513,                0.39908,                 0.1488,                 2.8257,                  3.001,                 2.1062,             0.00026186,             0.00026186,             0.00026186
                     36,                 1.8611,                 1.2723,                 1.5883,                0.52537,                 0.4403,                0.43782,                 0.2113,                 2.6734,                 2.9352,                 2.0025,              0.0002265,              0.0002265,              0.0002265
                     37,                 1.8541,                 1.2487,                 1.5701,                0.54722,                0.43391,                0.39795,                0.18365,                 2.6083,                 2.8707,                 1.9309,             0.00019113,             0.00019113,             0.00019113
                     38,                 1.8397,                 1.2259,                 1.5685,                0.47576,                0.44405,                0.40808,                0.16122,                 2.7032,                  2.893,                 1.9979,             0.00015576,             0.00015576,             0.00015576
                     39,                 1.7994,                 1.2119,                 1.5522,                0.49561,                0.42827,                0.41964,                0.19742,                 2.6756,                 2.9329,                 1.9896,             0.00012039,             0.00012039,             0.00012039
                     40,                 1.7586,                 1.1869,                 1.5189,                0.51718,                0.44491,                0.42507,                0.19384,                 2.6629,                 2.9832,                 1.9864,             8.5026e-05,             8.5026e-05,             8.5026e-05
