                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.4325,                 4.6225,                 2.2195,                0.77083,                0.16667,                0.08754,                0.01857,                  2.958,                 3.6848,                  3.167,             0.00022864,             0.00022864,             0.00022864
                      2,                 2.2744,                 2.9169,                 1.9196,                0.45019,                0.13636,                0.07604,                0.01223,                 3.0757,                 3.0578,                 3.6355,              0.0004599,              0.0004599,              0.0004599
                      3,                 2.1123,                 2.5846,                 1.8197,                0.19937,                0.30519,                0.13818,                0.02873,                 3.0176,                 3.5658,                 3.6216,             0.00067913,             0.00067913,             0.00067913
                      4,                 2.1838,                 2.4097,                 1.8072,                0.39339,                0.18543,                0.05752,                0.01272,                 3.3619,                  5.697,                 4.6086,             0.00088634,             0.00088634,             0.00088634
                      5,                 2.1391,                 2.2948,                 1.8649,                 0.2514,                0.21717,                0.11819,                0.04249,                 2.2413,                 4.5012,                  2.359,              0.0010815,              0.0010815,              0.0010815
                      6,                 2.1713,                 2.1479,                 1.8747,                0.23449,                0.19611,                0.10643,                0.03027,                 2.4375,                 3.6785,                 2.4711,              0.0012522,              0.0012522,              0.0012522
                      7,                 2.3036,                 2.2221,                 2.0387,                0.82324,                0.12698,                0.11109,                0.03794,                 2.4858,                  5.098,                 2.3452,              0.0012522,              0.0012522,              0.0012522
                      8,                 2.1069,                  2.132,                 1.9516,                0.47094,                0.40667,                0.15506,                0.04795,                 2.6616,                  4.922,                 3.3705,              0.0012168,              0.0012168,              0.0012168
                      9,                 2.1394,                 1.9457,                 1.8884,                0.53488,                0.36869,                 0.1519,                0.05299,                 2.6886,                 4.3048,                 2.9712,              0.0011814,              0.0011814,              0.0011814
                     10,                  2.129,                 1.9511,                 1.8423,                0.17677,                0.17316,                 0.1343,                 0.0473,                  2.721,                 4.0983,                 2.4481,              0.0011461,              0.0011461,              0.0011461
                     11,                 2.0833,                 2.0311,                 1.8503,                0.26314,                0.29509,                0.25779,                0.08372,                 2.7811,                  2.975,                 2.7496,              0.0011107,              0.0011107,              0.0011107
                     12,                 1.9779,                 1.7863,                 1.8005,                0.24073,                0.32684,                0.20648,                0.07809,                 2.8828,                  3.908,                 3.0943,              0.0010753,              0.0010753,              0.0010753
                     13,                 1.9009,                 1.7179,                 1.7407,                 0.5115,                0.12698,                0.13357,                 0.0558,                 2.4277,                 4.8597,                  2.374,                0.00104,                0.00104,                0.00104
                     14,                  2.073,                 1.7372,                 1.7394,                0.16541,                0.47835,                0.24003,                 0.0617,                 3.0578,                  3.326,                 3.5062,              0.0010046,              0.0010046,              0.0010046
                     15,                 2.0163,                 1.6682,                 1.7617,                0.15549,                0.40188,                0.19429,                0.05844,                 2.9383,                 2.9265,                 3.4792,             0.00096922,             0.00096922,             0.00096922
                     16,                 1.8972,                 1.7571,                 1.6692,                0.81177,                 0.1746,                0.17736,                0.05351,                 3.0536,                 3.3716,                 3.2142,             0.00093385,             0.00093385,             0.00093385
                     17,                 1.8681,                 1.7229,                 1.6748,                0.89713,                0.15873,                0.19888,                0.06625,                 2.7975,                 4.0925,                  2.592,             0.00089848,             0.00089848,             0.00089848
                     18,                  1.926,                 1.6524,                 1.7172,                0.65272,                0.22078,                0.26098,                0.09596,                 2.6517,                 3.0825,                 2.6216,             0.00086312,             0.00086312,             0.00086312
                     19,                 1.9282,                 1.5509,                 1.6903,                 0.2629,                0.31169,                0.28774,                0.10404,                 2.8298,                 3.0979,                 2.7406,             0.00082775,             0.00082775,             0.00082775
                     20,                  1.879,                 1.5467,                 1.6873,                0.36395,                0.29582,                0.33632,                0.10044,                 2.7614,                 2.4916,                 2.8742,             0.00079238,             0.00079238,             0.00079238
                     21,                   1.89,                 1.4111,                 1.6206,                0.37144,                0.34199,                0.36152,                0.11349,                 2.6165,                 2.5984,                 2.6307,             0.00075701,             0.00075701,             0.00075701
                     22,                 1.9316,                 1.4512,                 1.6096,                0.32164,                0.39267,                0.33286,                0.08931,                 2.7313,                 2.5817,                 2.8461,             0.00072164,             0.00072164,             0.00072164
                     23,                 1.8864,                 1.4711,                 1.5882,                 0.7688,                0.25108,                0.23425,                 0.0822,                   2.88,                 3.1574,                  3.007,             0.00068628,             0.00068628,             0.00068628
                     24,                 1.8251,                 1.4209,                 1.5968,                0.39991,                0.47251,                0.37751,                 0.1003,                 2.6662,                 2.6698,                 2.6272,             0.00065091,             0.00065091,             0.00065091
                     25,                 1.8638,                 1.3916,                 1.6044,                0.63048,                0.23521,                0.22563,                0.08751,                 2.5142,                 2.8264,                 2.5484,             0.00061554,             0.00061554,             0.00061554
                     26,                 1.7538,                 1.3118,                 1.5536,                0.30735,                 0.4329,                0.29193,                 0.0848,                 2.9272,                 2.5521,                 3.1253,             0.00058017,             0.00058017,             0.00058017
                     27,                  1.873,                 1.3531,                 1.5383,                0.59918,                0.22078,                0.21558,                 0.0876,                 2.8434,                 3.3118,                 2.8044,             0.00054481,             0.00054481,             0.00054481
                     28,                 1.8379,                 1.3355,                 1.5913,                 0.3264,                0.34033,                0.27666,                0.09748,                 3.0345,                 3.1972,                 3.1299,             0.00050944,             0.00050944,             0.00050944
                     29,                 1.8066,                 1.3019,                 1.5842,                0.34528,                 0.3053,                0.27319,                0.08849,                 2.6517,                 3.4326,                 2.5418,             0.00047407,             0.00047407,             0.00047407
                     30,                 1.8128,                 1.3516,                 1.5984,                0.38346,                0.39521,                0.30836,                0.10957,                 2.9119,                 2.9594,                 2.8763,              0.0004387,              0.0004387,              0.0004387
                     31,                 1.8081,                 1.2595,                 1.6541,                0.41268,                0.41831,                0.35285,                0.11039,                 2.9276,                    2.9,                 3.1141,             0.00040334,             0.00040334,             0.00040334
                     32,                 1.7906,                 1.2315,                  1.574,                0.35022,                0.44805,                0.34378,                0.11096,                 2.8074,                 2.8627,                 2.9933,             0.00036797,             0.00036797,             0.00036797
                     33,                 1.8576,                 1.2851,                  1.718,                0.35006,                0.44805,                0.38213,                0.13166,                 2.8463,                 2.9222,                 3.0635,              0.0003326,              0.0003326,              0.0003326
                     34,                 1.6056,                  1.045,                 1.4564,                0.30443,                 0.4632,                0.33854,                0.12681,                   2.88,                 3.1489,                 2.9535,             0.00029723,             0.00029723,             0.00029723
                     35,                 1.8012,                  1.138,                 1.6345,                0.66735,                 0.2175,                0.30641,                0.12532,                 2.7144,                 3.4267,                 2.5558,             0.00026186,             0.00026186,             0.00026186
                     36,                 1.7124,                 1.0921,                 1.6034,                0.35821,                0.31169,                0.32675,                0.12855,                   2.87,                  2.865,                 2.9819,              0.0002265,              0.0002265,              0.0002265
                     37,                 1.6489,                 1.0992,                 1.5218,                0.37389,                0.35714,                0.37724,                0.14136,                 2.8925,                  2.859,                 3.0548,             0.00019113,             0.00019113,             0.00019113
                     38,                 1.5674,                 1.0122,                 1.4418,                0.40574,                0.34199,                0.33753,                0.11545,                 2.8853,                 2.8464,                 2.9259,             0.00015576,             0.00015576,             0.00015576
                     39,                  1.722,                 1.1237,                 1.5313,                0.42682,                0.35714,                0.36951,                0.11666,                 2.8117,                 2.8414,                 2.7792,             0.00012039,             0.00012039,             0.00012039
                     40,                 1.6579,                 1.0125,                 1.5445,                0.43268,                0.35714,                0.37144,                0.11527,                 2.8049,                 2.9058,                 2.7207,             8.5026e-05,             8.5026e-05,             8.5026e-05
